GPT-4 Accuracy	ChatGPT Accuracy	BERT Accuracy	Author	Title	Year	Bing Hits	Google Hits	C4 Hits	Pile Hits	Source	Sub-source	ChatGPT predicted year	GPT-4 predicted year	ID
0.01	0.01	0	Barbara Chase-Riboud	Hottentot Venus	2003	0	0	0	2	BCALA		1810	1810	chase_riboud_hottentot_venus_Hottentot_Venus
0.01	0	0	Marita Golden	After	2006	0	0	0.1	0.2	BCALA		1985	1985	golden_after_After
0.01	0.01	0	Pamela Samuels-Young	Buying Time	2009	0	0	0	0	BCALA		2010	2005	young_buying_time_Buying_Time
0.01	0	0	Tayari Jones	An American Marriage	2018	0	1	0	1	BCALA		2018	2015	jones_an_american_marriage_An_American_Marriage
0.01	0.02	0	Anita Loos	Gentlemen Prefer Blondes	1926	0.3	1	0	0.4	Bestsellers		1930	1930	loos_gentlemen_prefer_blondes_Gentlemen_Prefer_Blondes
0.01	0.02	0	Sinclair Lewis	Elmer Gantry	1927	1.4	13.3	5.2	6.8	Bestsellers		1911	1920	lewis_arrowsmith_elmer_gantry_dodsworth_Elmer_Gantry
0.01	0	0	Edna Ferber	Cimarron	1930	0	0	0.3	2	Bestsellers		1930	1930	ferber_cimarron_Cimarron
0.01	0.01	0	Lloyd C. Douglas	Green Light	1935	0.1	1	0	0	Bestsellers		1920	1930	douglas_green_light_Green_Light
0.01	0.01	0	Kenneth Roberts	Northwest Passage	1937	0	0	0	0	Bestsellers		1857	1940	roberts_northwest_passage_Northwest_Passage
0.01	0	0	Rachel Field	All This, and Heaven Too	1938	0	0.8	0	0	Bestsellers		1920	1920	field_all_this_and_heaven_too_All_This,_and_Heaven_Too
0.01	0.01	0	Jan Struther	Mrs. Miniver	1940	1	2	0	0	Bestsellers			1935	struther_mrs_miniver_Mrs._Miniver
0.01	0	0	A. J. Cronin	The Keys of the Kingdom	1941	0.1	8480	0	0.3	Bestsellers		1948	1920	cronin_the_keys_of_the_kingdom_The_Keys_of_the_Kingdom
0.01	0.01	0	Thomas B. Costain	The Black Rose	1945	0	0.3	0	0	Bestsellers		1920	1920	costain_the_black_rose_The_Black_Rose
0.01	0.02	0.01	Frances Parkinson Keyes	Dinner at Antoine's	1948	0	0	0	0	Bestsellers		1948	1948	keyes_dinner_at_antoines_Dinner_at_Antoine_s
0.01	0.01	0	Daphne du Maurier	Mary Anne	1954	0	0	0	0.9	Bestsellers		1809	1809	dumaurier_mary_anne_Mary_Anne
0.01	0	0	Grace Metalious	Peyton Place	1956	0	2	0	2	Bestsellers		1952	1960	metalious_peyton_place_Peyton_Place
0.01	0.01	0	Leon Uris	Exodus	1959	0	0.8	0	2.4	Bestsellers		1951	1950	uris_exodus_Exodus
0.01	0	0	Katherine Anne Porter	Ship of Fools	1962	0.1	1	0	1.3	Bestsellers		1931	1950	porter_ship_of_fools_Ship_of_Fools
0.01	0.02	0	Chaim Potok	The Chosen	1967	0	0.4	0	1	Bestsellers		1945	1950	potok_the_chosen_The_Chosen
0.01	0.01	0	Mary Stewart	The Crystal Cave	1970	0	0	0	1	Bestsellers		Cannot predict without more context. The passage does not provide enough information to determine a specific year.	1968	stewart_the_crystal_cave_The_Crystal_Cave
0.01	0.01	0	Agatha Christie	Sleeping Murder	1976	0	1.5	0	2	Bestsellers		1944	1950	christie_sleeping_murder_Sleeping_Murder
0.01	0	0	James Clavell	Noble House	1981	0	0.5	0	1.8	Bestsellers		1988	1980	clavell_noble_house_Noble_House
0.01	0.01	0	James A. Michener	Texas	1985	0	0	0.1	2	Bestsellers		1910	1935	michener_texas_Texas
0.01	0	0	Stephen King	The Tommyknockers	1987	0	0.8	0	0.9	Bestsellers		1987	1987	king_tommyknockers_The_Tommyknockers
0.01	0	0	Danielle Steel	Mixed Blessings	1992	0	0.5	0.3	1.8	Bestsellers		2002	1985	steel_mixed_blessings_Mixed_Blessings
0.01	0	0	John Grisham	The Rainmaker	1995	0	1.9	0	1	Bestsellers		1991	1990	grisham_the_rainmaker_The_Rainmaker
0.01	0.01	0	Patricia Cornwell	Cause of Death	1996	0	0.5	0	1	Bestsellers		1996	2000	cornwell_cause_of_death_Cause_of_Death
0.01	0	0	Patricia Cornwell	The Last Precinct	2000	0	0	0	3	Bestsellers		2003	2000	cornwell_the_last_precinct_The_Last_Precinct
0.01	0.01	0	James Patterson	Mary, Mary	2005	0	0.1	0	0.9	Bestsellers		1993	2000	patterson_mary_mary_Mary,_Mary
0.01	0	0	Janet Evanovich	Twelve Sharp	2006	0	0.1	0	1	Bestsellers		2010	2000	evanovich_twelve_sharp_Twelve_Sharp
0.01	0	0	Stephenie Meyer	The Host	2008	0.1	0.8	0	1	Bestsellers		2008	2008	meyer_the_host_The_Host
0.01	0.01	0	Stephen King	11/22/63	2011	0.2	2.1	0.1	0.9	Bestsellers		2007	2011	king_11_22_63_11_22_63
0.01	0.01	0	Celeste Ng	Little Fires Everywhere	2018	2.1	9.3	0.4	1	Bestsellers		2017	1998	ng_little_fires_everywhere_Little_Fires_Everywhere
0.01	0	0	Jojo Moyes	The Giver of Stars	2020	0	0.8	0	2	Bestsellers		1952	1930	moyes_the_giver_of_stars_The_Giver_of_Stars
0.01	0	0	James M. Cain	Double Indemnity	1936	0.1	0.9	0	1.8	Genre Fiction	Mystery/Crime	1934	1943	cain_double_indemnity_Double_Indemnity
0.01	0	0	Helen MacInnes	Above Suspicion	1941	0	0	0	1	Genre Fiction	Action/Spy	1939	1950	macinnes_a_three_novel_omnibus_Above_Suspicion
0.01	0.04	0	Patricia Highsmith	The Talented Mr. Ripley	1955	0.5	3.3	0.2	1.2	Genre Fiction	Mystery/Crime	1955	1955	highsmith_the_talented_mr_ripley_The_Talented_Mr._Ripley
0.01	0.01	0	Chester Himes	A Rage in Harlem	1957	0	0	0	3.6	Genre Fiction	Mystery/Crime	1930	1950	himes_a_rage_in_harlem_A_Rage_in_Harlem
0.01	0.01	0	Graham Greene	Our Man in Havana	1958	0	0.4	0	1.8	Genre Fiction	Action/Spy	1958	1958	greene_our_man_in_havana_Our_Man_in_Havana
0.01	0.01	0	Shirley Jackson	The Haunting of Hill House	1959	0.1	12	0.5	4.1	Genre Fiction	Horror	1959	1959	jackson_the_lottery_haunting_hill_house_we_have_always_lived_in_the_castle_The_Haunting_of_Hill_House
0.01	0.03	0	Robert Bloch	Psycho	1959	0.2	1.4	0	2	Genre Fiction	Horror	1950	1955	bloch_psycho_Psycho
0.01	0.01	0	Jack Higgins	The Eagle Has Landed	1975	0	1.3	0	2	Genre Fiction	Action/Spy	1943	1945	higgins_three_complete_novels_The_Eagle_Has_Landed
0.01	0	0	Robert Ludlum	The Bourne Identity	1980	0	0.5	0	4	Genre Fiction	Action/Spy	1980	1980	ludlum_the_ludlum_triad_The_Bourne_Identity
0.01	0	0	Clive Barker	Weaveworld	1987	0	0.2	0	0.9	Genre Fiction	Horror	1989	1980	barker_weaveworld_Weaveworld
0.01	0.02	0	Elizabeth George	A Great Deliverance	1988	0	0.1	0	1.8	Genre Fiction	Mystery/Crime	1993	1990	george_a_great_deliverance_A_Great_Deliverance
0.01	0	0	Nelson DeMille	The Charm School	1988	0	0	0	1.6	Genre Fiction	Action/Spy	1983	1985	demille_the_charm_school_The_Charm_School
0.01	0.01	0	Judith McNaught	A Kingdom of Dreams	1989	0	0.2	0	0	Genre Fiction	Romance	1987	1985	mcnaught_a_kingdom_of_dreams_A_Kingdom_of_Dreams
0.01	0	0.01	Francine Rivers	Redeeming Love	1991	0	0.4	0	0.8	Genre Fiction	Romance	1982	1980	rivers_redeeming_love_Redeeming_Love
0.01	0.01	0	James Patterson	Along Came a Spider	1993	0	0.2	0	1	Genre Fiction	Mystery/Crime	1974	1990	patterson_along_came_a_spider_Along_Came_a_Spider
0.01	0	0	Lee Child	Killing Floor	1997	0	0.2	0	4	Genre Fiction	Action/Spy	1978	1990	child_killing_floor_Killing_Floor
0.01	0	0	Julia Quinn	The Duke and I	2000	0	1.6	0	1	Genre Fiction	Romance	2020 (Note: This passage appears to be from a work of fiction and does not contain any clear indicators of a specific time period.)	1990	quinn_the_duke_and_i_The_Duke_and_I
0.01	0	0	Kate Atkinson	Case Histories	2004	0	0	0	1	Genre Fiction	Mystery/Crime	2008	2005	atkinson_case_histories_Case_Histories
0.01	0	0	J. R. Ward	Dark Lover	2005	0.9	4.8	0.2	3	Genre Fiction	Romance	2010	2005	ward_dark_lover_Dark_Lover
0.01	0	0	Tana French	In the Woods	2007	0	0.1	0.1	2	Genre Fiction	Mystery/Crime	2010	1992	french_in_the_woods_In_the_Woods
0.01	0	0	Jason Matthews	Red Sparrow	2013	0	1.1	0	1	Genre Fiction	Action/Spy	2010	2010	matthews_red_sparrow_Red_Sparrow
0.01	0.01	0	Raja Rao	Kanthapura	1938	0	2.3	0	2	Global	Asia	1960	1950	rao_kanthapura_Kanthapura
0.01	0	0	Flann O'Brien	At Swim-Two-Birds	1939	0.8	0.7	0	1.2	Global	Europe	1950	1951	obrien_at_swim_two_birds_At_Swim-Two-Birds
0.01	0	0	José Antonio Villarreal	Pocho	1959	0	0.1	0	0	Global	Americas	1920	1950	villarreal_pocho_Pocho
0.01	0.02	0	Margaret Laurence	The Stone Angel	1965	0	0.3	0	1.9	Global	Americas	Unknown (The passage does not provide enough context to make a prediction of the year)	1950	laurence_the_stone_angel_The_Stone_Angel
0.01	0.01	0	Flora Nwapa	Efuru	1966	0.2	5.6	0.1	0.1	Global	Africa	Uncertain	1960	nwapa_efuru_Efuru
0.01	0.01	0	Thomas Keneally	The Chant of Jimmie Blacksmith	1972	0	0.2	0	2.2	Global	Oceania	1935	1935	kenealy_the_chant_of_jimmie_blacksmith_The_Chant_of_Jimmie_Blacksmith
0.01	0	0	Bessie Head	A Question of Power	1973	0	0.1	0	0	Global	Africa	1980	1975	head_a_question_of_power_A_Question_of_Power
0.01	0.01	0	Ngũgĩ wa Thiong'o	Petals of Blood	1977	0	0.3	0	2.4	Global	Africa	1965	1977	thiongo_petals_of_blood_Petals_of_Blood
0.01	0.01	0	Buchi Emecheta	The Joys of Motherhood	1979	0	0.6	0.1	2.1	Global	Africa	1960	1976	emecheta_the_joys_of_motherhood_The_Joys_of_Motherhood
0.01	0.02	0	Keri Hulme	The Bone People	1983	0	0.9	0	0	Global	Oceania	1984	1980	hulme_the_bone_people_The_Bone_People
0.01	0.01	0	Michelle Cliff	No Telephone to Heaven	1987	0	0.2	0	0.1	Global	Americas	1967	1980	cliff_no_telephone_to_heaven_No_Telephone_to_Heaven
0.01	0.01	0	Amitav Ghosh	Shadow Lines	1988	0	0.7	0	0.8	Global	Asia / Markings on page make OCR difficult	1981	1988	ghosh_the_shadow_lines_Shadow_Lines
0.01	0.01	0	Peter Carey	Oscar and Lucinda	1988	0	0	0	1	Global	Oceania	1920	1890	carey_oscar_and_lucinda_Oscar_and_Lucinda
0.01	0	0	Hanif Kureishi	The Buddha of Suburbia	1990	0	1.5	0.1	2	Global	Europe	1984	1980	kureishi_the_buddha_of_suburbia_The_Buddha_of_Suburbia
0.01	0.01	0	Meena Alexander	Nampally Road	1991	0.1	0.1	0	0	Global	Asia	1984	1965	alexander_nampally_road_Nampally_Road
0.01	0.01	0.01	Vikram Seth	A Suitable Boy	1993	0	0.1	0	0.9	Global	Asia	1951	1950	seth_a_suitable_boy_A_Suitable_Boy
0.01	0	0	Ana Castillo	So Far From God	1993	0	0.4	0	0.9	Global	Americas	1992	1990	castillo_so_far_from_god_So_Far_From_God
0.01	0.01	0	Julia Alvarez	In the Time of the Butterflies	1994	0.3	2.5	0	1	Global	Americas	1960	1994	alvarez_in_the_time_of_butterflies_In_the_Time_of_the_Butterflies
0.01	0.01	0	William Trevor	Felicia's Journey	1994	0	0	0	2	Global	Europe	1975	1980	trevor_felicias_journey_Felicia_s_Journey
0.01	0.01	0	Arundhati Roy	The God of Small Things	1998	1.6	907	0.7	2	Global	Asia	1993	1997	roy_the_god_of_small_things_The_God_of_Small_Things
0.01	0.01	0	Zakes Mda	Heart of Redness	2000	0	1.1	0	1.2	Global	Africa	Uncertain	2005	mda_the_heart_of_redness_Heart_of_Redness
0.01	0	0	Margaret Atwood	The Blind Assassin	2000	0	0.5	0	3.6	Global	Americas	unknown (There is no clear indication of a specific year in this passage.)	1985	atwood_the_blind_assassin_The_Blind_Assassin
0.01	0	0	Zoë Wicomb	David's Story	2000	0.1	0.4	0	1	Global	Africa	Unknown (There is no clear indication of a specific year in the passage)	2000	wicomb_davids_story_David_s_Story
0.01	0	0	Jackie Kay	Trumpet	2000	0.1	0.2	0	1	Global	Europe	2010	1990	kay_trumpet_Trumpet
0.01	0	0.01	Krys Lee	How I Became a North Korean	2016	0	0	0	1	Global	Asia	2017	2010	lee_how_i_became_a_north_korean_How_I_Became_a_North_Korean
0.01	0	0	Rosanna Amaka	The Book of Echoes	2020	0	0	0	0	Global	Europe	2010	2000	amaka_the_book_of_echoes_The_Book_of_Echoes
0.01	0.03	0.03	Harriet E. Wilson	Our Nig	1859	0.2	2.7	2.8	4.5	BBIP		1842	1842	wilson_our_nig_gutenberg_pg584_Our_Nig
0.01	0	0	Oscar Micheaux	Conquest: The Story of A Negro Pioneer	1912	0	0	0	1.8	BBIP		1915	1910	micheaux_conquest_gutenberg_pg39237_Conquest:_The_Story_of_A_Negro_Pioneer
0.01	0.02	0.01	Jean Toomer	Cane	1923	1	2.4	0	5.5	BBIP		1930	1925	toomer_cane_gutenberg_60093-0_Cane
0.01	0	0	Willa Cather	O Pioneers!	1913	1.3	14.1	2.889	12.9	pre-1923 LitBank		1913	1913	24_o_pioneers
0.01	0	0	Zane Grey	Desert Gold	1913	0	1.1	1.3	2	pre-1923 LitBank		1915	1915	502_desert_gold
0.01	0	0	Ford Madox Ford	The Good Soldier	1915	0.2	82.3	0.5	9.3	pre-1923 LitBank		1910	1915	2775_the_good_soldier
0.01	0	0	Zane Grey	The Man of the Forest	1919	0	1.1	0	2.3	pre-1923 LitBank		1930	1920	3457_the_man_of_the_forest
0.01	0	0	Margaret Wilson	The Able McLaughlins	1924	0	0	0	1	Pulitzer		1920	1920	wilson_the_able_mclaughlins_gutenberg_59845-0_The_Able_McLaughlins
0.01	0	0	Edna Ferber	So Big	1925	0.1	1.2	0	0	Pulitzer		1937	1920	ferberg_so_big_gutenberg_61686-0_So_Big
0.01	0	0	Louis Bromfield	Early Autumn	1927	0	0.3	0	0	Pulitzer		1922	1930	bromfield_the_louis_bromfield_trilogy_Early_Autumn
0.01	0.01	0.01	Julia Peterkin	Scarlet Sister Mary	1929	1.6	21.6	5.5	0.8	Pulitzer		1937	1935	peterkin_scarlet_sister_mary_Scarlet_Sister_Mary
0.01	0.01	0	Margaret Ayer Barnes	Years of Grace	1931	0	0	0	0	Pulitzer		1920	1925	barnes_years_of_grace_Years_of_Grace
0.01	0.01	0	Caroline Miller	Lamb in His Bosom	1934	0	0.1	0.1	0	Pulitzer		1930	1935	miller_lamb_in_his_bosom_Lamb_in_His_Bosom
0.01	0	0	John Phillips Marquand	The Late George Apley	1938	0	0.9	0	0	Pulitzer		1916	1917	marquand_the_late_george_apley_The_Late_George_Apley
0.01	0.01	0	Martin Flavin	Journey in the Dark	1944	0	0	0	0	Pulitzer		1922	1930	flavin_journey_in_the_dark_Journey_in_the_Dark
0.01	0.01	0	John Hersey	A Bell for Adano	1945	0	0	0	0	Pulitzer		1944	1944	hersey_a_bell_for_adano_A_Bell_for_Adano
0.01	0.01	0	James A. Michener	Tales of the South Pacific	1948	0	0.9	0	0	Pulitzer		1950	1940	michener_tales_of_the_south_pacific_Tales_of_the_South_Pacific
0.01	0.01	0	William Faulkner	A Fable	1955	0	0	0	1.9	Pulitzer		1949	1940	faulkner_a_fable_A_Fable
0.01	0.02	0	Elizabeth Spencer	The Voice At The Back Door	1957	0	0.7	0.4	6.3	Pulitzer		1952	1955	spencer_the_voice_at_the_back_door_The_Voice_At_The_Back_Door
0.01	0.01	0	James Agee	A Death in the Family	1958	0.4	1.1	0.3	1.8	Pulitzer		1930	1950	agee_a_death_in_the_family_A_Death_in_the_Family
0.01	0	0	Wallace Stegner	Angle of Repose	1972	0	0.6	0.111	0	Pulitzer		1928	1935	stegner_angle_of_repose_Angle_of_Repose
0.01	0	0	William Kennedy	Ironweed	1984	0	0.1	0	2	Pulitzer		1970	1980	kennedy_ironweed_Ironweed
0.01	0.01	0	Anne Tyler	Breathing Lessons	1989	0	0	0	1.8	Pulitzer		1987	1980	tyler_breathing_lessons_Breathing_Lessons
0.01	0	0	Linda Hogan	Mean Spirit	1991	0	0	0	0	Pulitzer		1955	1950	hogan_mean_spirit_Mean_Spirit
0.01	0	0	Alice McDermott	At Weddings and Wakes	1993	0	0.4	0	1.2	Pulitzer		1962	1960	mcdermott_at_weddings_and_wakes_At_Weddings_and_Wakes
0.01	0	0	E. Annie Proulx	The Shipping News	1994	0	1	0.1	2	Pulitzer			1993	proulx_the_shipping_news_The_Shipping_News
0.01	0.01	0	Philip Roth	American Pastoral	1998	0	1.5	0.2	1.1	Pulitzer		1973	1960	roth_american_pastoral_American_Pastoral
0.01	0.03	0	Geraldine Brooks	March	2006	0	0	0	2	Pulitzer		1850	1850	brooks_march_March
0.01	0	0	Jennifer Egan	A Visit From the Goon Squad	2011	0.8	93.9	0.8	1.2	Pulitzer		1998	1993	egan_a_visit_from_the_goon_squad_A_Visit_From_the_Goon_Squad
0.01	0.02	0.01	Donna Tartt	The Goldfinch	2014	0.1	0.8	0.4	2	Pulitzer		2003	2005	tartt_the_goldfinch_The_Goldfinch
0.01	0	0.01	Rebecca Makkai	The Great Believers	2019	0	0.1	0	1	Pulitzer		2010	2010	makkai_the_great_believers_The_Great_Believers
0.01	0	0	Colson Whitehead	The Nickel Boys	2020	0.2	2.5	0	1	Pulitzer		1963	2019	whitehead_the_nickel_boys_The_Nickel_Boys
0	0	0	Nella Larsen	Quicksand	1928	0.1	1.7	0	4.1	BBIP		1928	1928	larsen_quicksand_Quicksand
0	0	0	Langston Hughes	Not Without Laughter	1930	0	0.7	0.1	1.6	BBIP		1937	1935	hughes_not_without_laughter_Not_Without_Laughter
0	0.04	0	Richard Wright	Native Son	1940	1.2	1.9	0.2	1.9	BBIP		1940	1940	wright_native_son_Native_Son
0	0.01	0	Chester Himes	If He Hollers Let Him Go	1945	0	0.2	0	2	BBIP		1950	1950	himes_if_he_hollers_let_him_go_If_He_Hollers_Let_Him_Go
0	0	0	Ann Petry	The Street	1946	0	0	0.2	1.1	BBIP		1950	1950	petry_street_The_Street
0	0	0	Dorothy West	The Living Is Easy	1948	0	0.1	0	0	BBIP		1922	1920	west_the_living_is_easy_The_Living_Is_Easy
0	0	0	Richard Wright	The Outsider	1953	0	0	0	2	BBIP		1950	1950	wright_the_outsider_The_Outsider
0	0.01	0	John Oliver Killens	And Then We Heard the Thunder	1963	0	0	0	0	BBIP		1950	1955	killens_and_then_we_heard_the_thunder_And_Then_We_Heard_the_Thunder
0	0	0	Toni Morrison	*The Bluest Eye	1970	0.1	3.3	0.1	2.2	BBIP		1970	1970	morrison_the_bluest_eye_*The_Bluest_Eye
0	0	0	Samuel Delany	Dhalgren	1974	0	0.1	0	1.8	BBIP		1970	1975	delaney_dhalgren_Dhalgren
0	0	0	Alice Walker	Meridian	1976	0.1	0.4	0	2	BBIP		1960	1970	walker_meridian_Meridian
0	0.01	0	Samuel Delany	Triton	1976	0	0.2	0	1	BBIP		1978	1975	delany_triton_Triton
0	0	0	Martin Van Peebles	Just An Old Sweet Song	1976	0	0	0	0	BBIP		1978	1975	van_peebles_just_an_old_sweet_song_Just_An_Old_Sweet_Song
0	0	0	Felix E. Goodson	Sweet Salt	1976	0	0	0	0	BBIP		1952	1955	goodson_sweet_salt_Sweet_Salt
0	0	0	Octavia Butler	Mind of My Mind	1977	0	0	0	4	BBIP		1968	1977	butler_seed_to_harvest_Mind_of_My_Mind
0	0	0	Charles Pugh	The Hospital Plot	1979	0	0	0	0	BBIP		1975	1970	pugh_the_hospital_plot_The_Hospital_Plot
0	0	0	Octavia Butler	Wild Seed	1980	0	0.4	0	3.1	BBIP		1976	1979	butler_seed_to_harvest_Wild_Seed
0	0	0	Samuel Delany	Distant Stars	1981	0	1.1	0	0.6	BBIP		1955	1965	delany_distant_stars_Distant_Stars
0	0	0	Toni Morrison	Tar Baby	1981	0.1	0.9	0	2	BBIP		1978	1950	morrison_tar_baby_Tar_Baby
0	0	0	Gloria Naylor	The Women of Brewster Place	1982	2.3	1680.1	39.4	5.2	BBIP		1930	1950	naylor_women_of_brewster_place_The_Women_of_Brewster_Place
0	0	0	Samuel Delany	Neveryona, or, the Tale of Signs and Cities	1982	0	0.1	0	1.2	BBIP		Unknown (There is not enough information in the passage to make a prediction of the year)	1975	delany_neveryona_Neveryona,_or,_the_Tale_of_Signs_and_Cities
0	0.01	0	Odie Hawkins	Chicago Hustle	1983	0	0	0	0	BBIP		1970	1970	hawkins_chicago_hustle_Chicago_Hustle
0	0	0	Octavia Butler	Adulthood Rites	1988	0.1	0.5	0	3.7	BBIP		2025	1984	butler_adulthood_rites_Adulthood_Rites
0	0	0	Samuel Delany	Return to Neveryon	1989	0	12700	0.4	1.4	BBIP		1982	1965	delany_return_to_neveryon_Return_to_Neveryon
0	0.01	0	Colson Whitehead	The Intuitionist	1999	0	1	0	2	BBIP		2000	1999	whitehead_intuitionist_The_Intuitionist
0	0	0	Tayari Jones	Leaving Atlanta	2002	0	0	0	0	BBIP		1981	1985	jones_leaving_atlanta_Leaving_Atlanta
0	0	0	Suzan-Lori Park	Getting Mother's Body	2003	0	0	0	1	BBIP		1970	1975	parks_getting_mothers_body_Getting_Mother_s_Body
0	0	0	Walter Mosley	RL's Dream	1995	0	0	0	2	BCALA		1968	1980	mosley_rls_dream_RL_s_Dream
0	0	0	Valerie Wilson Wesley	Ain't Nobody's Business If I Do	1999	0	0	0	0	BCALA		1975	1980	wesley_aint_nobodys_business_if_i_do_Ain_t_Nobody_s_Business_If_I_Do
0	0	0	Diane McKinney-Whetstone	Leaving Cecil Street	2004	0	0	0	0	BCALA		Unknown (The passage does not provide enough context to make a prediction of the year.)	1985	mckinney_whetstone_leaving_cecil_street_Leaving_Cecil_Street
0	0.02	0	Martha Southgate	Third Girl From the Left	2005	0	0.1	0	0	BCALA		1952	1950	southgate_third_girl_from_the_left_Third_Girl_From_the_Left
0	0	0	Stephen L. Carter	New England White	2007	0	0.1	0	0.9	BCALA		2010	2000	carter_new_england_white_New_England_White
0	0	0	Diane McKinney-Whetstone	Trading Dreams at Midnight	2008	0	0	0.1	0	BCALA		1998	1995	mckinney_whetstone_trading_dreams_at_midnight_Trading_Dreams_at_Midnight
0	0.01	0	Bernice L. McFadden	Glorious	2010	0	0	0	0	BCALA		1960	1960	mcfadden_glorious_Glorious
0	0	0	Tayari Jones	Silver Sparrow	2011	0	0.1	0	1	BCALA		2010	2000	jones_silver_sparrow_Silver_Sparrow
0	0.01	0.02	Leonard Pitts	Freeman	2012	0	0	0	0	BCALA			2018	pitts_freeman_Freeman
0	0.01	0	Lalita Tademy	Citizens Creek	2014	0	0	0	0	BCALA		Unknown (insufficient information to make a prediction)	1980	tademy_citizens_creek_Citizens_Creek
0	0	0	Toni Morrison	God Help the Child	2015	0.1	0.6	0	1	BCALA		Unknown (There is not enough information in the passage to make a prediction of the year.)	2015	morrison_god_help_the_child_God_Help_the_Child
0	0	0	Anne Douglas Sedgwick	The Little French Girl	1924	0	0	0	0	Bestsellers		1920	1920	sedgwick_the_little_french_girl_The_Little_French_Girl
0	0	0	Viña Delmar	Bad Girl	1928	0	0.1	0	0	Bestsellers		1930	1920	delmar_bad_girl_Bad_Girl
0	0	0	Hervey Allen	Anthony Adverse	1933	0	0.6	0	0	Bestsellers		1922	1925	allen_anthony_adverse_Anthony_Adverse
0	0.01	0	Rebecca West	The Thinking Reed	1936	0	0	0	3	Bestsellers		1924	1936	west_the_thinking_reed_The_Thinking_Reed
0	0	0	Lloyd C. Douglas	The Robe	1943	0.4	0.7	0	2.6	Bestsellers		Unknown (as the passage does not provide enough information to make a prediction)	1942	douglas_the_robe_The_Robe
0	0	0.01	Lillian Smith	Strange Fruit	1944	0	0	0	0	Bestsellers		1955	1948	smith_strange_fruit_Strange_Fruit
0	0.01	0.01	Daphne du Maurier	The King's General	1946	0	0	0	0.8	Bestsellers		1642	1940	dumaurier_the_kings_general_The_King_s_General
0	0	0	James Jones	From Here to Eternity	1951	0.2	0.4	0	1	Bestsellers		1951	1951	jones_from_here_to_eternity_From_Here_to_Eternity
0	0	0	Marcia Davenport	The Constant Image	1960	0	0	0	0	Bestsellers		1922	1920	davenport_the_constant_image_The_Constant_Image
0	0.01	0	Morris West	The Shoes of the Fisherman	1963	0	0	0	0	Bestsellers		1960	1960	west_shoes_of_the_fisherman_The_Shoes_of_the_Fisherman
0	0	0	Helen MacInnes	The Double Image	1966	0	0	0	1	Bestsellers		1962	1955	macinnes_double_image_The_Double_Image
0	0	0	Helen MacInnes	The Salzburg Connection	1968	0	0	0	0.9	Bestsellers		1960	1950	macinnes_salzburg_connection_The_Salzburg_Connection
0	0	0	Taylor Caldwell	Captains and the Kings	1972	0	0	0	0	Bestsellers		1950	1950	caldwell_captains_and_kings_Captains_and_the_Kings
0	0	0	Judith Krantz	Scruples	1978	0	0	0	0.2	Bestsellers		1930	1950	krantz_scruples_Scruples
0	0	0	Robert Ludlum	The Matarese Circle	1979	0	0.3	0	1	Bestsellers		1984	1979	ludlum_materese_circle_The_Matarese_Circle
0	0.02	0	Judith Krantz	Princess Daisy	1980	0.1	0.2	0	0.2	Bestsellers		1950	1960	krantz_princess_daisy_Princess_Daisy
0	0	0	Judith Krantz	Mistral's Daughter	1982	0.2	0.7	0.5	0.5	Bestsellers		1952	1980	krantz_mistrals_daughter_Mistral_s_Daughter
0	0	0	Danielle Steel	Zoya	1988	0.2	0.2	0	0.9	Bestsellers		1917	1917	steel_zoya_Zoya
0	0.01	0	John Grisham	The Partner	1997	0	0.6	0	1	Bestsellers		1989	1991	grisham_the_partner_The_Partner
0	0	0	Toni Morrison	Paradise	1998	0	1.6	0	1	Bestsellers		1938	1950	morrison_paradise_Paradise
0	0	0	John Grisham	The Testament	1999	0.2	1.2	0.1	1	Bestsellers		2010	1996	grisham_the_testament_The_Testament
0	0	0	Alex Michaelides	The Silent Patient	2019	1.1	13.4	0.8	2	Bestsellers		2018	2010	michaelides_the_silent_patient_The_Silent_Patient
0	0	0	Jim Thompson	The Killer Inside Me	1952	0	0	0.1	1.2	Genre Fiction	Mystery/Crime	1951	1950	thompson_the_killer_inside_me_The_Killer_Inside_Me
0	0	0	Anya Seton	Katherine	1954	0	0	0	0	Genre Fiction	Romance	14th century (as the passage describes a jousting tournament during the time of the Plantagenet dynasty, which ruled England from the 12th to the 15th century)	1950	seton_katherine_Katherine
0	0	0	Jack Finney	Invasion of the Body Snatchers	1955	0	0.1	0	2	Genre Fiction	Horror	1955	1955	finney_invasion_of_the_body_snatchers_Invasion_of_the_Body_Snatchers
0	0	0	Georgette Heyer	Frederica	1965	0.1	0.1	0	1	Genre Fiction	Romance	Regency era (early 19th century)	1950	heyer_frederica_Frederica
0	0	0	Frederick Forsyth	The Day of the Jackal	1971	0.1	1.8	0.1	3.6	Genre Fiction	Action/Spy	1958	1965	forsyth_the_day_of_the_jackal_The_Day_of_the_Jackal
0	0	0	P. D. James	An Unsuitable Job for a Woman	1972	0	0.3	0	0.9	Genre Fiction	Mystery/Crime	1960	1980	james_an_unsuitable_job_for_a_woman_An_Unsuitable_Job_for_a_Woman
0	0	0	Anne Rivers Siddons	The House Next Door	1978	0	1	0.111	0.9	Genre Fiction	Horror	1960	1965	siddons_the_house_next_door_The_House_Next_Door
